X,Y,NAME,ACRES_RPT,ACRES_CALC,COMMENT,RUCODE,FULL_LABEL,INCIDENT_N,DECADE,MONTH,DAY,RX_BURN,NAMELABEL,UIDENT,ACRES,STATE,YEAR,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,REPORT_AC,INC_NUM,CONTR_NUM,PROJ_NAME,BURN_DATE,END_DATE,RX_TYPE,RX_CONSUM,Hectares
62998.25811,-408603.0248,,118,124,Date unknown,,0/00/00,,0,0,0,,"
0/00/00
118",194VENT_CO,124.299,CA,0,VNC,,,VNC,,,0,0,0,,,,,,0,0,50.30206985
61806.94318,-407860.6327,,359,359,Date unknown,,0/00/00,,0,0,0,,"
0/00/00
359",117VENT_CO,359.32,CA,0,VNC,,,VNC,,,0,0,0,,,,,,0,0,145.4118378
63298.66554,-412936.6523,Taylor Ranch,50,49,Date unknown,,0/00/00,,0,0,0,,"Taylor Ranch
0/00/00
50",57VENT_CO,49.24,CA,0,VNC,,Taylor Ranch,VNC,,,0,0,0,,,,,,0,0,19.92691646
62568.95818,-412836.5083,Taylor Ranch,145,144,Date unknown,,0/00/00,,0,0,0,,"Taylor Ranch
0/00/00
145",10VENT_CO,144.66,CA,0,VNC,,Taylor Ranch,VNC,,,0,0,0,,,,,,0,0,58.54189889
67118.18052,-392685.1673,Cozy Dell,3200,2975,,,1898/09/01,,1890,9,1,,"Cozy Dell
1898/09/01
3200",63VENT_CO,2974.169,CA,1898,VNC,,Cozy Dell,VNC,,,0,0,0,,,,,,0,0,1203.60352
58277.75706,-396457.0305,Los Padres,21200,20546,,,1898/09/01,,1890,9,1,,"Los Padres
1898/09/01
21200",2VENT_CO,20537.214,CA,1898,VNC,,Los Padres,VNC,,,0,0,0,,,,,,0,0,8311.11582
64893.44768,-392802.2083,Matilija,14000,2641,Rpt > Calc'd,,1898/04/01,,1890,4,1,,"Matilija
1898/04/01
14000",123VENT_CO,2640.732,CA,1898,VNC,,Matilija,VNC,,,0,0,0,,,,,,0,0,1068.666136
62415.71011,-399533.0521,Feroud / Aliso,500,731,,,8/1/1902,,1900,8,1,,"Feroud / Aliso
1902/08/01
500",124VENT_CO,731.389,CA,1902,VNC,,Feroud / Aliso,VNC,,,0,0,0,,,,,,0,0,295.9827715
68796.04835,-397968.6795,San Antonio,570,380,,,10/1/1903,,1900,10,1,,"San Antonio
1903/10/01
570",127VENT_CO,380.205,CA,1903,VNC,,San Antonio,VNC,,,0,0,0,,,,,,0,0,153.8633391
75353.95308,-396420.5747,Reeves,600,859,,,7/1/1908,,1900,7,1,,"Reeves
1908/07/01
600",74VENT_CO,859.24,CA,1908,VNC,,Reeves,VNC,,,0,0,0,,,,,,0,0,347.7219824
77145.45846,-392777.6367,Horn Canyon,3600,3174,,,9/1/1909,,1900,9,1,,"Horn Canyon
1909/09/01
3600",76VENT_CO,3173.982,CA,1909,VNC,,Horn Canyon,VNC,,,0,0,0,,,,,,0,0,1284.464874
